label,bucket_value,n,pos_rate,err_rate,FNR,FPR,bucket_type,variant
fake_urgency,niacinamide,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,nord_vpn,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,pazprofunda,4.0,0.75,0.0,0.0,0.0,source,MODEL
fake_urgency,platzi,2.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,portsaid,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,puma,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,rappi,1.0,0.0,1.0,0.0,1.0,source,MODEL
fake_urgency,riot,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,shein,6.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,source,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,spotify,1.0,1.0,1.0,1.0,0.0,source,MODEL
fake_urgency,steam,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,stockcenter,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,temu,17.0,0.5294117647058824,0.11764705882352941,0.0,0.25,source,MODEL
fake_urgency,tienda_clic,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,twitch,1.0,0.0,0.0,0.0,0.0,source,MODEL
fake_urgency,udemy,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,wish,6.0,0.16666666666666666,0.8333333333333334,0.0,1.0,source,MODEL
fake_urgency,ynkore,1.0,1.0,0.0,0.0,0.0,source,MODEL
fake_urgency,<=2,52.0,0.38461538461538464,0.28846153846153844,0.35,0.25,len_words_bucket,SYSTEM
fake_urgency,3-4,112.0,0.30357142857142855,0.16964285714285715,0.029411764705882353,0.23076923076923078,len_words_bucket,SYSTEM
fake_urgency,5-7,233.0,0.30042918454935624,0.12017167381974249,0.11428571428571428,0.12269938650306748,len_words_bucket,SYSTEM
fake_urgency,8-12,148.0,0.30405405405405406,0.033783783783783786,0.022222222222222223,0.038834951456310676,len_words_bucket,SYSTEM
