feature,mean_A,mean_B,diff,kind,label,pair
últimos,0.01983810377677778,0.006415005498940621,0.01342309827783716,word,fake_urgency,FP_vs_TN
tendencia,0.013257810540711845,0.0,0.013257810540711845,word,fake_urgency,FP_vs_TN
oferta,0.016668448509630826,0.003711928182425031,0.012956520327205795,word,fake_urgency,FP_vs_TN
al,0.020698651726100328,0.00801923592125236,0.012679415804847967,word,fake_urgency,FP_vs_TN
descuentos,0.0130945700219731,0.001044111545772027,0.012050458476201073,word,fake_urgency,FP_vs_TN
exclusivos,0.0130945700219731,0.001116247048076128,0.011978322973896973,word,fake_urgency,FP_vs_TN
__num,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
um_,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
__nu,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
_nu,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
_num,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
um__,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
__n,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
_num_,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
m__,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
num,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
num_,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
num__,0.043240103845699686,0.012923993455884328,0.030316110389815357,char,fake_urgency,FP_vs_TN
um__ ,0.04160293443636471,0.011447063397556547,0.030155871038808162,char,fake_urgency,FP_vs_TN
m__ ,0.04160293443636471,0.011447063397556547,0.030155871038808162,char,fake_urgency,FP_vs_TN
 __n,0.04170934729559487,0.012719108213304303,0.028990239082290564,char,fake_urgency,FP_vs_TN
 __nu,0.04170934729559487,0.012719108213304303,0.028990239082290564,char,fake_urgency,FP_vs_TN
_time,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
__tim,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
imer,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
mer__,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
mer_,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
__t,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
__ti,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
r__,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
er_,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
er__,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
imer_,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
_tim,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
_ti,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
time,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
timer,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
 __t,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
 __ti,0.02378333635774645,0.00030633015875717446,0.023477006198989275,char,fake_urgency,FP_vs_TN
ime,0.02338823037839301,0.0005711911430417332,0.022817039235351277,char,fake_urgency,FP_vs_TN
tim,0.028394120969642174,0.0064262714285659465,0.021967849541076227,char,fake_urgency,FP_vs_TN
mer,0.022676308973393507,0.001127716000493698,0.021548592972899808,char,fake_urgency,FP_vs_TN
r__ ,0.01714467296969761,0.0,0.01714467296969761,char,fake_urgency,FP_vs_TN
er__ ,0.01714467296969761,0.0,0.01714467296969761,char,fake_urgency,FP_vs_TN
 ex,0.016049508375110315,0.0009484206245492274,0.015101087750561088,char,fake_urgency,FP_vs_TN
 __,0.04235937344226865,0.02794196304240882,0.014417410399859831,char,fake_urgency,FP_vs_TN
olo,0.016980732081479075,0.003305736796521786,0.01367499528495729,char,fake_urgency,FP_vs_TN
desc,0.014091656169910191,0.0013851156052323396,0.012706540564677852,char,fake_urgency,FP_vs_TN
 desc,0.014091656169910191,0.0013851156052323396,0.012706540564677852,char,fake_urgency,FP_vs_TN
ece,0.014974044338919303,0.0023424267224813914,0.012631617616437912,char,fake_urgency,FP_vs_TN
 des,0.014798854857439899,0.002512698486823436,0.012286156370616462,char,fake_urgency,FP_vs_TN
des,0.015522262111479921,0.0033439613568145496,0.012178300754665371,char,fake_urgency,FP_vs_TN
uent,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
cuent,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
cuen,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
cue,0.012551709801721581,0.0007995673481321717,0.01175214245358941,char,fake_urgency,FP_vs_TN
demanda,0.10574355567116826,0.0,0.10574355567116826,word,fake_scarcity,FN_vs_TP
alta,0.0674789879896606,0.0,0.0674789879896606,word,fake_scarcity,FN_vs_TP
alta demanda,0.06186302647857128,0.0,0.06186302647857128,word,fake_scarcity,FN_vs_TP
carrito,0.061980112591207566,0.00967635962907665,0.05230375296213091,word,fake_scarcity,FN_vs_TP
__people__,0.04658353439861223,0.0,0.04658353439861223,word,fake_scarcity,FN_vs_TP
tu,0.04913933426430243,0.005316460216495264,0.043822874047807166,word,fake_scarcity,FN_vs_TP
producto,0.03987999217803873,0.0,0.03987999217803873,word,fake_scarcity,FN_vs_TP
__scarcity__ precio,0.03657838664968145,0.0,0.03657838664968145,word,fake_scarcity,FN_vs_TP
hoy,0.034491507444881886,0.0,0.034491507444881886,word,fake_scarcity,FN_vs_TP
en,0.08290939455188936,0.04939079645515359,0.033518598096735776,word,fake_scarcity,FN_vs_TP
esto,0.033391173735899796,0.0,0.033391173735899796,word,fake_scarcity,FN_vs_TP
tienen,0.03273850504066818,0.0,0.03273850504066818,word,fake_scarcity,FN_vs_TP
__num__,0.06273105200443187,0.03044479229566236,0.032286259708769506,word,fake_scarcity,FN_vs_TP
de,0.04812689291839268,0.01861545243122547,0.02951144048716721,word,fake_scarcity,FN_vs_TP
artículo,0.03753808161230212,0.009114149095590865,0.028423932516711256,word,fake_scarcity,FN_vs_TP
mucha,0.027869988404754794,0.0,0.027869988404754794,word,fake_scarcity,FN_vs_TP
mucha demanda,0.027869988404754794,0.0,0.027869988404754794,word,fake_scarcity,FN_vs_TP
ahora,0.02673139195689455,0.0,0.02673139195689455,word,fake_scarcity,FN_vs_TP
su,0.026637709023684248,0.0,0.026637709023684248,word,fake_scarcity,FN_vs_TP
su carrito,0.026637709023684248,0.0,0.026637709023684248,word,fake_scarcity,FN_vs_TP
tu pedido,0.02607997094965501,0.0,0.02607997094965501,word,fake_scarcity,FN_vs_TP
pedido,0.02607997094965501,0.0,0.02607997094965501,word,fake_scarcity,FN_vs_TP
por,0.02551179236107624,0.0,0.02551179236107624,word,fake_scarcity,FN_vs_TP
artículos en,0.031668176773362346,0.006205678972223971,0.025462497801138375,word,fake_scarcity,FN_vs_TP
que,0.03467141578717072,0.009485502700738807,0.025185913086431914,word,fake_scarcity,FN_vs_TP
un,0.02474680440533949,0.0,0.02474680440533949,word,fake_scarcity,FN_vs_TP
la,0.02948580068828951,0.005737249387038151,0.02374855130125136,word,fake_scarcity,FN_vs_TP
los,0.03402971052754264,0.011261610811177832,0.022768099716364808,word,fake_scarcity,FN_vs_TP
de __num__,0.02235414713594768,0.0,0.02235414713594768,word,fake_scarcity,FN_vs_TP
está,0.02816680808355128,0.006819325856928366,0.021347482226622912,word,fake_scarcity,FN_vs_TP
__social_count__,0.021284603091399824,0.0,0.021284603091399824,word,fake_scarcity,FN_vs_TP
rápido,0.052759966961681025,0.03256586825933063,0.020194098702350394,word,fake_scarcity,FN_vs_TP
las,0.02535805084547576,0.005737249387038151,0.019620801458437608,word,fake_scarcity,FN_vs_TP
